Order ID,Order Date,Supplier,Product,Category,Warehouse,City,Quantity Ordered,Quantity Received,Unit Cost (INR),Expected Delivery Days,Actual Delivery Days,Stock Level,Reorder Level,Order Status,Pending Quantity,Delivery Variance,Order Value (INR),Inventory Status
ORD00020,11-12-2025,Om Logistics,Smartphone,Electronics,WH-East-01,Delhi,152,152,4418.71,11,14,142,63,Delivered,0,3,671643.92,Overstocked
ORD00021,25-08-2025,Delhivery Direct,Cotton T-Shirt,Apparel,WH-Central-04,Delhi,50,0,1556.47,11,9,121,158,Cancelled,50,-2,77823.5,Reorder Needed
ORD00022,27-03-2025,Delhivery Direct,Olive Oil,FMCG,WH-South-02,Kolkata,487,0,223.29,9,7,232,73,Cancelled,487,-2,108742.23,Overstocked
ORD00023,27-05-2025,TCI Express,Almond Pack,FMCG,WH-West-03,Bengaluru,122,122,520.88,3,7,29,80,Delivered,0,4,63547.36,Reorder Needed
ORD00024,26-01-2025,TCI Express,LED Headlights,Automotive,WH-Central-04,Bengaluru,54,54,4339.19,4,4,120,48,Delivered,0,0,234316.26,Overstocked
ORD00025,26-07-2025,Mahindra Logistics,Bluetooth Speaker,Electronics,WH-Central-04,Lucknow,45,45,11605.61,9,13,104,73,Delivered,0,4,522252.45,Optimal
ORD00026,09-12-2025,Zenith Supply,Air Fryer,Home & Kitchen,WH-West-03,Bengaluru,368,0,3833.85,10,11,37,159,In Transit,368,1,1410856.8,Reorder Needed
ORD00027,05-01-2025,Nexus Global,Shampoo Bottle,FMCG,WH-North-01,Jaipur,134,0,782.36,5,6,125,152,In Transit,134,1,104836.24,Reorder Needed
ORD00028,09-07-2025,Delhivery Direct,Air Fryer,Home & Kitchen,WH-Central-04,Chennai,338,338,5424.11,13,17,283,144,Delivered,0,4,1833349.18,Optimal
ORD00029,03-06-2025,Zenith Supply,Laptop,Electronics,WH-North-01,Delhi,405,405,10494.16,7,7,175,131,Delivered,0,0,4250134.8,Optimal
ORD00030,15-04-2025,Delhivery Direct,Induction Cooktop,Home & Kitchen,WH-East-01,Mumbai,72,72,3781.14,7,5,66,138,Delivered,0,-2,272242.08,Reorder Needed
ORD00031,23-11-2025,Delhivery Direct,Air Fryer,Home & Kitchen,WH-Central-04,Kolkata,312,312,845.45,4,4,189,146,Delivered,0,0,263780.4,Optimal
ORD00032,26-10-2025,Om Logistics,Brake Pads,Automotive,WH-South-02,Mumbai,182,182,1895.07,3,4,52,71,Delivered,0,1,344902.74,Reorder Needed
ORD00033,01-07-2025,BlueDart Suppliers,LED Headlights,Automotive,WH-South-02,Bengaluru,434,434,3724.16,9,7,170,158,Delivered,0,-2,1616285.44,Optimal
ORD00034,05-02-2026,Mahindra Logistics,Almond Pack,FMCG,WH-East-01,Bengaluru,428,184,1026.6,9,7,235,65,Partially Delivered,244,-2,439384.8,Overstocked
ORD00035,29-06-2025,Mahindra Logistics,Air Fryer,Home & Kitchen,WH-North-01,Hyderabad,229,229,2342.83,4,4,204,105,Delivered,0,0,536508.07,Optimal
ORD00036,14-12-2025,Apex Logistics,Car Battery,Automotive,WH-North-01,Chennai,116,116,2780.42,7,5,176,95,Delivered,0,-2,322528.72,Optimal
ORD00037,09-01-2026,TCI Express,Water Purifier,Home & Kitchen,WH-North-01,Kolkata,485,485,3509.96,7,5,266,40,Delivered,0,-2,1702330.6,Overstocked
ORD00038,17-02-2026,Mahindra Logistics,Air Filter,Automotive,WH-East-01,Kolkata,60,60,4290.39,8,9,153,55,Delivered,0,1,257423.4,Overstocked
ORD00039,17-09-2025,Om Logistics,Electric Kettle,Home & Kitchen,WH-East-01,Kolkata,381,381,2189.58,5,5,194,160,Delivered,0,0,834229.98,Optimal
ORD00040,13-12-2025,Zenith Supply,Track Pants,Apparel,WH-West-03,Jaipur,451,451,350.75,7,7,310,114,Delivered,0,0,158188.25,Overstocked
ORD00041,02-12-2025,Delhivery Direct,Water Purifier,Home & Kitchen,WH-West-03,Hyderabad,286,286,3023.98,14,14,263,76,Delivered,0,0,864858.28,Overstocked
ORD00042,06-12-2025,Nexus Global,Car Battery,Automotive,WH-South-02,Chennai,140,140,3706.91,5,3,312,100,Delivered,0,-2,518967.4,Overstocked
ORD00043,29-01-2026,Om Logistics,Smartwatch,Electronics,WH-Central-04,Hyderabad,392,392,12898.75,10,12,2,123,Delivered,0,2,5056310,Reorder Needed
ORD00044,20-01-2026,Mahindra Logistics,Smartwatch,Electronics,WH-South-02,Jaipur,262,262,2043.67,6,5,237,142,Delivered,0,-1,535441.54,Optimal
ORD00045,08-12-2025,FastTrack Corp,Wiper Blades,Automotive,WH-West-03,Lucknow,442,272,3349.02,11,13,81,97,Partially Delivered,170,2,1480266.84,Reorder Needed
ORD00046,16-01-2026,Zenith Supply,Olive Oil,FMCG,WH-South-02,Chennai,417,417,1122.09,10,10,146,49,Delivered,0,0,467911.53,Overstocked
ORD00047,01-05-2025,FastTrack Corp,Cookware Set,Home & Kitchen,WH-Central-04,Delhi,95,95,1508.9,9,9,212,48,Delivered,0,0,143345.5,Overstocked
ORD00048,28-07-2025,Delhivery Direct,Induction Cooktop,Home & Kitchen,WH-West-03,Mumbai,130,87,4714.59,9,7,3,101,Partially Delivered,43,-2,612896.7,Reorder Needed
ORD00049,30-06-2025,Om Logistics,Water Purifier,Home & Kitchen,WH-Central-04,Jaipur,434,434,3635.29,6,9,248,95,Delivered,0,3,1577715.86,Overstocked
ORD00050,15-01-2025,Om Logistics,Detergent Pack,FMCG,WH-South-02,Ahmedabad,495,495,309.53,12,16,303,90,Delivered,0,4,153217.35,Overstocked
ORD00051,16-10-2025,Om Logistics,Smartphone,Electronics,WH-South-02,Ahmedabad,118,118,2044.78,9,10,172,81,Delivered,0,1,241284.04,Overstocked
ORD00052,25-01-2026,Om Logistics,Detergent Pack,FMCG,WH-East-01,Delhi,265,0,174.23,11,9,114,84,Cancelled,265,-2,46170.95,Optimal
ORD00053,29-11-2025,Apex Logistics,Tablet,Electronics,WH-North-01,Hyderabad,127,127,15299.04,12,12,58,100,Delivered,0,0,1942978.08,Reorder Needed
ORD00054,16-10-2025,Zenith Supply,Running Shoes,Apparel,WH-East-01,Bengaluru,335,141,1473.41,14,13,55,79,Partially Delivered,194,-1,493592.35,Reorder Needed
ORD00055,24-10-2025,Om Logistics,Wireless Headphones,Electronics,WH-West-03,Hyderabad,63,63,11147.24,13,13,154,138,Delivered,0,0,702276.12,Optimal
ORD00056,17-12-2025,Apex Logistics,Engine Oil,Automotive,WH-East-01,Jaipur,244,244,3112.24,4,8,215,41,Delivered,0,4,759386.56,Overstocked
ORD00057,08-09-2025,FastTrack Corp,Smartwatch,Electronics,WH-West-03,Bengaluru,247,247,4159.1,11,11,275,157,Delivered,0,0,1027297.7,Optimal
ORD00058,01-02-2026,Om Logistics,Olive Oil,FMCG,WH-Central-04,Chennai,190,0,1214.64,4,4,237,71,In Transit,190,0,230781.6,Overstocked
ORD00059,19-10-2025,Om Logistics,Air Filter,Automotive,WH-East-01,Mumbai,278,278,3888.91,5,8,132,142,Delivered,0,3,1081116.98,Reorder Needed
ORD00060,24-06-2025,Zenith Supply,Induction Cooktop,Home & Kitchen,WH-Central-04,Mumbai,289,211,5255.89,4,4,123,111,Partially Delivered,78,0,1518952.21,Optimal
ORD00061,20-12-2025,Delhivery Direct,Almond Pack,FMCG,WH-West-03,Mumbai,72,72,517.79,9,9,188,114,Delivered,0,0,37280.88,Optimal
ORD00062,31-08-2025,FastTrack Corp,Wiper Blades,Automotive,WH-West-03,Jaipur,194,194,1842.42,10,10,61,69,Delivered,0,0,357429.48,Reorder Needed
ORD00063,05-01-2026,Nexus Global,Formal Shirt,Apparel,WH-Central-04,Bengaluru,123,103,750.31,10,10,144,116,Partially Delivered,20,0,92288.13,Optimal
ORD00064,21-02-2025,Mahindra Logistics,Formal Shirt,Apparel,WH-East-01,Bengaluru,179,179,376.17,11,11,283,46,Delivered,0,0,67334.43,Overstocked
ORD00065,30-05-2025,Delhivery Direct,Hoodie,Apparel,WH-North-01,Mumbai,318,318,876.03,10,13,129,46,Delivered,0,3,278577.54,Overstocked
ORD00066,02-09-2025,Om Logistics,Smartphone,Electronics,WH-West-03,Delhi,320,320,11774.69,3,3,155,112,Delivered,0,0,3767900.8,Optimal
ORD00067,13-02-2025,TCI Express,Cotton T-Shirt,Apparel,WH-West-03,Lucknow,330,330,1812.87,6,10,226,156,Delivered,0,4,598247.1,Optimal
ORD00068,02-06-2025,Zenith Supply,LED Headlights,Automotive,WH-Central-04,Lucknow,55,0,2899.49,14,13,320,66,Cancelled,55,-1,159471.95,Overstocked
ORD00069,19-04-2025,Nexus Global,Electric Kettle,Home & Kitchen,WH-South-02,Hyderabad,113,113,3394.36,5,3,304,128,Delivered,0,-2,383562.68,Overstocked
ORD00070,29-08-2025,Mahindra Logistics,Mixer Grinder,Home & Kitchen,WH-East-01,Chennai,384,0,4840.15,4,4,320,140,In Transit,384,0,1858617.6,Overstocked
ORD00071,29-10-2025,Nexus Global,Running Shoes,Apparel,WH-Central-04,Hyderabad,356,356,625.63,7,7,157,61,Delivered,0,0,222724.28,Overstocked
ORD00072,01-11-2025,Delhivery Direct,Car Battery,Automotive,WH-North-01,Ahmedabad,377,377,1646.77,9,9,224,103,Delivered,0,0,620832.29,Overstocked
ORD00073,11-02-2025,Om Logistics,Engine Oil,Automotive,WH-East-01,Lucknow,153,0,506.05,6,4,137,126,Cancelled,153,-2,77425.65,Optimal
ORD00074,23-10-2025,Delhivery Direct,Laptop,Electronics,WH-Central-04,Ahmedabad,494,494,5873.03,12,14,46,102,Delivered,0,2,2901276.82,Reorder Needed
ORD00075,29-08-2025,FastTrack Corp,Water Purifier,Home & Kitchen,WH-East-01,Delhi,464,464,1555.88,9,12,205,160,Delivered,0,3,721928.32,Optimal
ORD00076,21-02-2026,Delhivery Direct,Engine Oil,Automotive,WH-North-01,Pune,154,46,1725.42,9,13,277,124,Partially Delivered,108,4,265714.68,Overstocked
ORD00077,25-08-2025,Mahindra Logistics,Organic Tea,FMCG,WH-Central-04,Pune,343,154,1095.55,13,16,281,74,Partially Delivered,189,3,375773.65,Overstocked
ORD00078,09-03-2025,Delhivery Direct,Water Purifier,Home & Kitchen,WH-North-01,Mumbai,347,347,3661.7,6,6,282,41,Delivered,0,0,1270609.9,Overstocked
ORD00079,28-07-2025,Nexus Global,Laptop,Electronics,WH-West-03,Delhi,356,356,15180.01,10,10,212,74,Delivered,0,0,5404083.56,Overstocked
ORD00080,05-09-2025,Delhivery Direct,Protein Powder,FMCG,WH-Central-04,Bengaluru,221,83,388.26,12,16,35,150,Partially Delivered,138,4,85805.46,Reorder Needed
ORD00081,22-05-2025,TCI Express,Detergent Pack,FMCG,WH-East-01,Mumbai,169,107,1057.56,12,15,247,108,Partially Delivered,62,3,178727.64,Overstocked
ORD00082,26-06-2025,TCI Express,Induction Cooktop,Home & Kitchen,WH-West-03,Ahmedabad,189,189,4887.13,14,14,210,69,Delivered,0,0,923667.57,Overstocked
ORD00083,23-01-2025,Delhivery Direct,Electric Kettle,Home & Kitchen,WH-West-03,Kolkata,364,364,4524.25,13,13,64,44,Delivered,0,0,1646827,Optimal
ORD00084,15-09-2025,Nexus Global,Car Battery,Automotive,WH-West-03,Delhi,294,294,4132.81,3,3,79,123,Delivered,0,0,1215046.14,Reorder Needed
ORD00085,08-02-2025,FastTrack Corp,Detergent Pack,FMCG,WH-Central-04,Kolkata,357,357,250.39,8,12,320,80,Delivered,0,4,89389.23,Overstocked
ORD00086,03-01-2026,Apex Logistics,Shampoo Bottle,FMCG,WH-Central-04,Delhi,145,98,938.95,7,7,51,52,Partially Delivered,47,0,136147.75,Reorder Needed
ORD00087,16-08-2025,Zenith Supply,Hoodie,Apparel,WH-North-01,Mumbai,191,191,1822.87,7,8,125,58,Delivered,0,1,348168.17,Overstocked
ORD00088,29-09-2025,BlueDart Suppliers,Shampoo Bottle,FMCG,WH-South-02,Bengaluru,65,65,911.86,9,9,73,114,Delivered,0,0,59270.9,Reorder Needed
ORD00089,29-04-2025,Zenith Supply,Almond Pack,FMCG,WH-West-03,Chennai,366,366,161.75,10,10,37,60,Delivered,0,0,59200.5,Reorder Needed
ORD00090,15-08-2025,Zenith Supply,Induction Cooktop,Home & Kitchen,WH-West-03,Chennai,258,104,4772.93,6,8,195,70,Partially Delivered,154,2,1231415.94,Overstocked
ORD00091,20-10-2025,Zenith Supply,Induction Cooktop,Home & Kitchen,WH-East-01,Mumbai,449,449,3893.68,7,5,25,127,Delivered,0,-2,1748262.32,Reorder Needed
ORD00092,07-11-2025,Mahindra Logistics,Detergent Pack,FMCG,WH-Central-04,Pune,137,137,945.77,12,12,70,132,Delivered,0,0,129570.49,Reorder Needed
ORD00093,18-11-2025,Apex Logistics,Tablet,Electronics,WH-East-01,Ahmedabad,42,42,10936.84,14,14,167,77,Delivered,0,0,459347.28,Overstocked
ORD00094,18-01-2026,Mahindra Logistics,Protein Powder,FMCG,WH-South-02,Jaipur,473,0,1364.36,11,15,84,146,In Transit,473,4,645342.28,Reorder Needed
ORD00095,12-05-2025,FastTrack Corp,Detergent Pack,FMCG,WH-North-01,Ahmedabad,63,0,325.95,6,8,285,142,Cancelled,63,2,20534.85,Overstocked
ORD00096,07-07-2025,Apex Logistics,Smartwatch,Electronics,WH-East-01,Jaipur,88,88,8840.41,13,13,190,145,Delivered,0,0,777956.08,Optimal
ORD00097,25-02-2025,Apex Logistics,Running Shoes,Apparel,WH-Central-04,Jaipur,192,192,2043.22,6,5,154,99,Delivered,0,-1,392298.24,Optimal
ORD00098,29-11-2025,BlueDart Suppliers,Organic Tea,FMCG,WH-North-01,Mumbai,180,180,1394.91,4,3,69,108,Delivered,0,-1,251083.8,Reorder Needed
ORD00099,18-07-2025,TCI Express,Detergent Pack,FMCG,WH-West-03,Lucknow,405,278,1058.25,9,8,143,92,Partially Delivered,127,-1,428591.25,Optimal
ORD00100,17-01-2025,Delhivery Direct,Air Fryer,Home & Kitchen,WH-West-03,Hyderabad,462,462,2504.62,13,14,183,122,Delivered,0,1,1157134.44,Optimal
ORD00101,01-02-2025,Mahindra Logistics,Detergent Pack,FMCG,WH-North-01,Ahmedabad,71,71,978.46,13,11,124,82,Delivered,0,-2,69470.66,Optimal
ORD00102,06-03-2025,Nexus Global,Brake Pads,Automotive,WH-Central-04,Hyderabad,325,249,1285.4,6,7,141,40,Partially Delivered,76,1,417755,Overstocked
ORD00103,16-03-2025,Zenith Supply,Track Pants,Apparel,WH-South-02,Delhi,363,363,1952.93,5,3,121,140,Delivered,0,-2,708913.59,Reorder Needed
ORD00104,29-10-2025,BlueDart Suppliers,Mixer Grinder,Home & Kitchen,WH-East-01,Mumbai,89,56,4286.07,11,10,185,97,Partially Delivered,33,-1,381460.23,Optimal
ORD00105,20-09-2025,Delhivery Direct,Engine Oil,Automotive,WH-Central-04,Hyderabad,339,339,577.8,13,17,15,122,Delivered,0,4,195874.2,Reorder Needed
ORD00106,01-02-2025,Om Logistics,Olive Oil,FMCG,WH-North-01,Ahmedabad,389,389,1287.13,4,3,33,58,Delivered,0,-1,500693.57,Reorder Needed
ORD00107,06-03-2025,TCI Express,Induction Cooktop,Home & Kitchen,WH-East-01,Kolkata,330,330,3293.62,10,14,58,52,Delivered,0,4,1086894.6,Optimal
ORD00108,02-12-2025,Mahindra Logistics,Air Filter,Automotive,WH-West-03,Ahmedabad,479,479,1336.82,8,11,48,133,Delivered,0,3,640336.78,Reorder Needed
ORD00109,10-06-2025,Zenith Supply,Detergent Pack,FMCG,WH-East-01,Bengaluru,376,135,1303.73,4,3,49,95,Partially Delivered,241,-1,490202.48,Reorder Needed
ORD00110,17-01-2026,TCI Express,Air Fryer,Home & Kitchen,WH-North-01,Lucknow,312,312,3439.91,13,12,216,151,Delivered,0,-1,1073251.92,Optimal
ORD00111,05-01-2026,Zenith Supply,Wireless Headphones,Electronics,WH-East-01,Delhi,320,320,9724.53,5,8,179,53,Delivered,0,3,3111849.6,Overstocked
ORD00112,12-10-2025,Zenith Supply,Mixer Grinder,Home & Kitchen,WH-Central-04,Hyderabad,438,438,2816.83,11,15,136,158,Delivered,0,4,1233771.54,Reorder Needed
ORD00113,15-01-2025,Zenith Supply,Formal Shirt,Apparel,WH-East-01,Pune,28,28,685.6,5,7,15,134,Delivered,0,2,19196.8,Reorder Needed
ORD00114,16-02-2025,Om Logistics,Brake Pads,Automotive,WH-West-03,Ahmedabad,199,131,1045.38,7,8,43,116,Partially Delivered,68,1,208030.62,Reorder Needed
ORD00115,27-01-2025,Apex Logistics,Denim Jeans,Apparel,WH-North-01,Chennai,251,251,1574.59,10,13,262,67,Delivered,0,3,395222.09,Overstocked
ORD00116,28-02-2025,Nexus Global,Water Purifier,Home & Kitchen,WH-East-01,Lucknow,274,274,3276.59,7,5,28,116,Delivered,0,-2,897785.66,Reorder Needed
ORD00117,04-01-2025,Mahindra Logistics,Formal Shirt,Apparel,WH-South-02,Chennai,173,73,957.03,3,6,194,56,Partially Delivered,100,3,165566.19,Overstocked
ORD00118,30-09-2025,TCI Express,Track Pants,Apparel,WH-East-01,Delhi,228,228,1944.26,3,5,39,157,Delivered,0,2,443291.28,Reorder Needed
ORD00119,10-06-2025,Om Logistics,LED Headlights,Automotive,WH-West-03,Chennai,83,63,2060.63,8,8,185,98,Partially Delivered,20,0,171032.29,Optimal
ORD00120,15-02-2025,Mahindra Logistics,Organic Tea,FMCG,WH-West-03,Lucknow,230,97,804.95,9,9,86,82,Partially Delivered,133,0,185138.5,Optimal
ORD00121,09-02-2025,Nexus Global,Air Filter,Automotive,WH-Central-04,Jaipur,124,55,4114.28,8,9,52,70,Partially Delivered,69,1,510170.72,Reorder Needed
ORD00122,16-03-2025,BlueDart Suppliers,Air Fryer,Home & Kitchen,WH-Central-04,Bengaluru,414,0,4368.02,4,4,252,120,Cancelled,414,0,1808360.28,Overstocked
ORD00123,26-08-2025,Delhivery Direct,Wiper Blades,Automotive,WH-Central-04,Lucknow,190,190,3943.41,13,14,240,48,Delivered,0,1,749247.9,Overstocked
ORD00124,15-08-2025,Apex Logistics,Cookware Set,Home & Kitchen,WH-East-01,Jaipur,62,62,2258.92,10,8,146,146,Delivered,0,-2,140053.04,Optimal
ORD00125,09-02-2025,TCI Express,Bluetooth Speaker,Electronics,WH-West-03,Ahmedabad,322,322,10512.52,14,12,292,143,Delivered,0,-2,3385031.44,Overstocked
ORD00126,30-11-2025,Delhivery Direct,Formal Shirt,Apparel,WH-Central-04,Bengaluru,56,56,1183.47,8,7,20,62,Delivered,0,-1,66274.32,Reorder Needed
ORD00127,07-05-2025,TCI Express,Olive Oil,FMCG,WH-Central-04,Lucknow,106,106,604.87,7,9,306,83,Delivered,0,2,64116.22,Overstocked
ORD00128,27-01-2025,FastTrack Corp,Mixer Grinder,Home & Kitchen,WH-North-01,Jaipur,372,372,2616.85,7,7,72,114,Delivered,0,0,973468.2,Reorder Needed
ORD00129,29-06-2025,Om Logistics,Electric Kettle,Home & Kitchen,WH-South-02,Lucknow,387,387,5208.61,7,11,168,141,Delivered,0,4,2015732.07,Optimal
ORD00130,21-02-2026,TCI Express,Hoodie,Apparel,WH-North-01,Kolkata,285,285,1019.38,8,8,174,67,Delivered,0,0,290523.3,Overstocked
ORD00131,28-01-2026,Mahindra Logistics,Protein Powder,FMCG,WH-South-02,Bengaluru,64,52,519.74,4,8,172,44,Partially Delivered,12,4,33263.36,Overstocked
ORD00132,28-01-2026,Om Logistics,Brake Pads,Automotive,WH-South-02,Bengaluru,117,40,3808.51,12,12,186,92,Partially Delivered,77,0,445595.67,Overstocked
ORD00133,13-12-2025,Zenith Supply,Running Shoes,Apparel,WH-West-03,Hyderabad,298,298,792.46,10,10,225,113,Delivered,0,0,236153.08,Optimal
ORD00134,25-08-2025,TCI Express,Water Purifier,Home & Kitchen,WH-Central-04,Kolkata,107,0,4639.39,12,12,246,46,In Transit,107,0,496414.73,Overstocked
ORD00135,10-07-2025,TCI Express,Engine Oil,Automotive,WH-North-01,Chennai,67,0,3528.78,7,10,223,58,In Transit,67,3,236428.26,Overstocked
ORD00136,16-02-2025,FastTrack Corp,Running Shoes,Apparel,WH-North-01,Kolkata,52,52,1083.44,8,8,191,50,Delivered,0,0,56338.88,Overstocked
ORD00137,25-04-2025,Nexus Global,Wireless Headphones,Electronics,WH-East-01,Bengaluru,95,58,1843.49,10,10,315,97,Partially Delivered,37,0,175131.55,Overstocked
ORD00138,03-01-2025,Zenith Supply,Smartphone,Electronics,WH-South-02,Bengaluru,305,305,16995.8,12,16,147,139,Delivered,0,4,5183719,Optimal
ORD00139,02-05-2025,Apex Logistics,Mixer Grinder,Home & Kitchen,WH-South-02,Kolkata,352,352,4531.33,10,9,255,155,Delivered,0,-1,1595028.16,Optimal
ORD00140,02-11-2025,TCI Express,Engine Oil,Automotive,WH-Central-04,Hyderabad,392,392,988.67,9,7,292,70,Delivered,0,-2,387558.64,Overstocked
ORD00141,02-08-2025,Nexus Global,Hoodie,Apparel,WH-Central-04,Pune,59,49,2113.8,11,15,10,110,Partially Delivered,10,4,124714.2,Reorder Needed
ORD00142,19-07-2025,Om Logistics,Organic Tea,FMCG,WH-East-01,Chennai,407,407,170.3,4,5,53,124,Delivered,0,1,69312.1,Reorder Needed
ORD00143,31-01-2026,FastTrack Corp,Air Filter,Automotive,WH-South-02,Mumbai,205,148,2638.66,13,13,245,99,Partially Delivered,57,0,540925.3,Overstocked
ORD00144,20-11-2025,Nexus Global,Denim Jeans,Apparel,WH-West-03,Mumbai,175,175,722.94,6,4,263,79,Delivered,0,-2,126514.5,Overstocked
ORD00145,23-07-2025,Zenith Supply,LED Headlights,Automotive,WH-North-01,Hyderabad,171,171,1863.59,3,4,188,142,Delivered,0,1,318673.89,Optimal
ORD00146,12-08-2025,Delhivery Direct,Almond Pack,FMCG,WH-West-03,Pune,120,0,770.25,10,11,136,106,In Transit,120,1,92430,Optimal
ORD00147,15-02-2026,Om Logistics,Tablet,Electronics,WH-North-01,Kolkata,333,333,17917.65,5,9,40,53,Delivered,0,4,5966577.45,Reorder Needed
ORD00148,17-06-2025,Delhivery Direct,Cookware Set,Home & Kitchen,WH-Central-04,Kolkata,110,110,4041.89,8,11,180,151,Delivered,0,3,444607.9,Optimal
ORD00149,11-11-2025,Apex Logistics,Detergent Pack,FMCG,WH-North-01,Kolkata,211,0,791.36,14,14,311,58,Cancelled,211,0,166976.96,Overstocked
ORD00150,14-12-2025,BlueDart Suppliers,Organic Tea,FMCG,WH-North-01,Hyderabad,423,0,956.45,8,10,309,44,Cancelled,423,2,404578.35,Overstocked
ORD00151,20-03-2025,FastTrack Corp,Detergent Pack,FMCG,WH-West-03,Delhi,318,318,322.12,8,10,127,75,Delivered,0,2,102434.16,Optimal
ORD00152,28-02-2025,BlueDart Suppliers,Tablet,Electronics,WH-West-03,Jaipur,223,156,16547.51,4,4,109,97,Partially Delivered,67,0,3690094.73,Optimal
ORD00153,10-11-2025,Delhivery Direct,Electric Kettle,Home & Kitchen,WH-South-02,Delhi,94,0,4808.28,10,10,44,96,In Transit,94,0,451978.32,Reorder Needed
ORD00154,19-02-2026,FastTrack Corp,Electric Kettle,Home & Kitchen,WH-North-01,Jaipur,302,302,2164.7,7,7,89,158,Delivered,0,0,653739.4,Reorder Needed
ORD00155,11-02-2026,Mahindra Logistics,Induction Cooktop,Home & Kitchen,WH-North-01,Hyderabad,430,430,1452.72,10,8,188,113,Delivered,0,-2,624669.6,Optimal
ORD00156,28-08-2025,Nexus Global,Brake Pads,Automotive,WH-North-01,Chennai,228,228,4498.34,14,17,209,138,Delivered,0,3,1025621.52,Optimal
ORD00157,22-10-2025,FastTrack Corp,Laptop,Electronics,WH-North-01,Ahmedabad,263,0,12625.83,8,8,282,139,In Transit,263,0,3320593.29,Overstocked
ORD00158,24-11-2025,BlueDart Suppliers,Brake Pads,Automotive,WH-West-03,Jaipur,491,491,3959.67,4,8,82,61,Delivered,0,4,1944197.97,Optimal
ORD00159,15-06-2025,TCI Express,Formal Shirt,Apparel,WH-East-01,Delhi,153,153,713.16,11,11,314,78,Delivered,0,0,109113.48,Overstocked
ORD00160,01-10-2025,BlueDart Suppliers,Bluetooth Speaker,Electronics,WH-Central-04,Lucknow,103,66,4076.17,12,13,14,45,Partially Delivered,37,1,419845.51,Reorder Needed
